,text,class
0,"this article is about the herbivorous mammals. for other uses, see animal (disambiguation) the term animal is used to refer to many species of even-toed ruminant indigenous to various regions in africa and eurasia.",Antelope
1,"one new world species, the pronghorn of north america, is sometimes colloquially referred to as the ""american animal"", but they are more distantly related to the giraffidae family. the ""true animal"" are the gazelle, nanger, e",Antelope
2,"the english word ""animal"" first appeared in 1417 and is derived from the old french antelop, itself derived from medieval latin ant(h)alopus, which in turn comes from the byzantine greek word anthólops, first attested in eustathius",Antelope
3,"the word talopus and calopus, from latin, came to be used in heraldry. in 1607, it was first used for living, cervine animals. it perhaps derives from greek anthos (flower) and ops (eye), perhaps meaning ""beautiful eye""",Antelope
4,"animal are not a cladistic or taxonomically defined group. they do not fall under the category of sheep, cattle, or goats. the classification of tribes or subfamilies within bovidae is still a matter of debate.",Antelope
5,"more species of animal are native to africa than to any other continent, almost exclusively in savannahs. 25-40 species co-occurring over much of east africa. savannah habitat in africa has expanded and contracted five times over the last three million years.",Antelope
6,"no animal species is native to australasia or antarctica, nor do any extant species occur in the americas. india is home to the nilgai, chinkara, blackbuck, tibetan animal, and four-horned animal. russia and central asia have the tibetan",Antelope
7,"many species of animal have been imported to other parts of the world, especially the united states, for exotic game hunting. in europe, several extinct species occur in the fossil record, and the saiga was found widely during the pleistocene.",Antelope
8,"wild populations of blackbuck animal, gemsbok, and nilgai may be found in texas. texas has many game ranches, as well as habitats and climates that are very hospitable to african and asian plains animal species.",Antelope
9,"species living in forests, woodland, or bush tend to be sedentary, but many of the plains species undertake long migrations. these enable grass-eating species to follow the rains and thereby their food supply. the gnus and gazelles of east africa perform some of",Antelope
10,"gerenuks can stand erect on their hind legs to browse on high foliage. a male common eland can measure 178 cm (5 ft 10 in) at the shoulder and weigh almost 950 kg (2,100 lb) an adult royal animal may stand only 24 cm (",Antelope
11,"not surprisingly for animals with long, slender yet powerful legs, many animal have long strides and can run fast. some (eg klipspringer) are also adapted to inhabiting rock koppies and crags. both dibatags and gerenuks habit",Antelope
12,"animal have a wide variety of coverings, though most have a dense coat of short fur. gazelle and springbok are known for their speed and leaping abilities. even larger animal, such as nilgai, elands, and kudus, are capable of",Antelope
13,"many desert and semidesert species are particularly pale, some almost silvery or whitish. exceptions include the zebra-marked zebra duiker, the grey, black, and white jentink's duiker and the black lechwe.",Antelope
14,"animal are ruminants, so have well-developed molar teeth, which grind cud (food balls stored in the stomach) into a pulp for further digestion. the springbok also has a pouch of white, brushlike hairs running along its back.",Antelope
15,"like many other herbivores, animal rely on keen senses to avoid predators. their eyes are placed on the sides of their heads, giving them a broad radius of vision. acute senses of smell and hearing give animal the ability to perceive danger at night.",Antelope
16,"many animal are sexually dimorphic. in most species, both sexes have horns, but those of males tend to be larger. many species also use scent marking to define their territories or simply to maintain contact with their relatives and neighbors.",Antelope
17,"the size and shape of animal horns varies greatly. a number of species have hornless females (eg, sitatunga, red lechwe, and suni) in some species, the males and females have differently coloured pelages.",Antelope
